Date;Profile;Message;Number of Likes;Number of comments;Number of Reactions, Comments & Shares;Post interaction rate;Reach per post;Interactions per impression;Profile-ID;Post-ID;Link
07/05/2024 15:39;Brega Bregoso;"Quem é esse cara Bregoso? Meu primo mermão, o bicho ficou de graça lá no sítio… quem já ficou nessas condições aí? 😂

#bregabregoso #recife #memes";11170.0;76.0;11246.0;0.004073117640880396;;;1006684000;1,79395E+16;https://www.instagram.com/reel/C6rXaQducT3/
26/04/2024 11:00;Recife Ordinário;"Banda Kitara versão reggae? O nosso breguinha combina com tudo! 😍

Eu amo o que a banda breggae_ faz. É encantador!! Simbora entrar no clima de sextou!!! 🙌
#recife #pernambuco #pernambucomeupaís #explore #explorar";11245.0;374.0;11619.0;0.006029413825151669;;;6947305861;1,81248E+16;https://www.instagram.com/reel/C6OilrBuX7e/
02/05/2024 22:37;Brega Bregoso;"Alexandre, Xandinho... o famoso ADM recebeu a Medalha do Mérito Jornalista Graça Araújo, na Câmara do Recife, na noite de hoje.

O prêmio homenageia profissionais da área da comunicação por serviços prestados à sociedade. Agradecemos publicamente à vereadora nataliademenudo pela proposição. Com seu mandato, conseguimos ver tudo aquilo em que acreditamos e pregamos por aqui: apreço ao povo da periferia e abertura para ouvir aqueles que muitas vezes não têm espaço.

Que esse prêmio abra espaço para outros criadores de conteúdo e comunicadores do ritmo brega, e que a cultura periférica de Pernambuco possa estar representada lá também.

#bregabregoso #recife #memes";11489.0;179.0;11668.0;0.004228746634000312;;;1006684000;1,80722E+16;https://www.instagram.com/p/C6fPc_kuxEp/
01/05/2024 19:35;NOVA 10COBERTA ORDINÁRIA;"O QUE É A SECRETARIA EXECUTIVA DOS DIREITOS DOS ANIMAIS - SEDA

Criada em 2013, na estrutura administrativa municipal do Recife, através do Decreto nº 21.138 de 03/06/2013, a Secretaria Executiva dos Direitos dos Animais - SEDA, é um órgão vinculado à Secretaria de Governo e Participação Social. Essa Secretaria surgiu da necessidade e do anseio social de criação de políticas públicas voltadas ao bem estar animal , sendo a primeira nesse âmbito de atuação no Norte e Nordeste e a terceira do país.

Endereço:

5º andar - Prefeitura do Recife

Av. Cais do Apolo, 925 -  Bairro do Recife, Recife/PE

CEP: 50030-903

Horário de funcionamento: 09h às 12h e das 13h às 16h (Segunda à sexta-feira, exceto sábados, domingos e feriados)

Telefone :

(81) 4042-3034

Horário de agendamento: 09h às 12h e das 13h às 16h

Segunda à sexta-feira (exceto sábados, domingos e feriados

.

.
.
.

#a #novadescoberta #novadescobertaordinaria #novadescobertarecife #recifepernambuco #workout #recifepernambucobrasil #que #videos #fyp #fy #fypシ  #instagood #instagram #reels #casaamarela #guabiraba #a #bomdia #naturephotography #photooftheday #k #cat  #tv #sbt";12.0;0.0;12.0;1,55E+12;;;4538520015;1,83344E+16;https://www.instagram.com/p/C6cVzo0Lqme/
12/05/2024 12:02;Recife Ordinário;"Hoje não, mainha. Sem palestrinha. Hoje vamos comemorar seu dia! Te amo! 😂😍

Tua mãe é assim também? Comenta aí!
#recife #pernambuco #humor #diadasmaes #explore #explorar";11929.0;71.0;12000.0;0.0062038716294882425;;;6947305861;1,80795E+16;https://www.instagram.com/reel/C638tH2uyc0/
03/05/2024 11:32;Brega Bregoso;"O vídeo mostra uma aluna agredindo outra na frente de vários outros que além de não intervirem, deixaram filmar.

Segundo informações, o vídeo foi gravado próximo da Escola Rochael de Medeiros, na Boa Vista.

Ficamos no aguardo que as autoridades investiguem o caso.
#bregabregoso #recife #noticia";107566.0;14758.0;122324.0;0.044332979367282664;;;1006684000;1,80303E+16;https://www.instagram.com/p/C6goD1rOsP4/
10/05/2024 08:00;Recife Ordinário;"Bom dia, ordinários! O doguinho caramelo é esperto: tentou avisar a ela que a vida num é um parque de diversões não! 😂

Via: jusoutom";12017.0;263.0;12280.0;0.006350270145042652;;;6947305861;1,80646E+16;https://www.instagram.com/reel/C6yRawsu_5n/
19/04/2024 18:00;Brega Bregoso;"SEXTOU TROPA! 🪖 
Oferecimento: EsportesDaSorte

Dá ideia de qual vai ser pra hoje:
🏰 Lembrando dela
💪 Treinando com o personal
🥲 Pensando nele
🕺 Dançando um bregão
😋 Afim de da uma paletada
🎥 Pedindo pra filmar
🍣 Afim de comer um temaki 
📏 Deixando na régua 
💸 Eu tô liso!
😍 Clássico 

Comenta aí e compartilha pra geral ✈️ 
#bregabregoso #recife #memes";121635.0;1743.0;123378.0;0.0449308491441769;;;1006684000;1,78547E+16;https://www.instagram.com/p/C59RWeMO34i/
10/05/2024 20:45;Brega Bregoso;"Era pra ser meu amor, mas tu não me amou… 🎵 

Diretamente do Rancho do Maia! Liene Show se apresenta na casa mais badalada do estado, o Lounge Music em Piedade!

Além dela, a festa fica por conta de Grazi Almeida, Roginho e DJ Nando Ramos. Tá bom pra tu? 🥵

Garante logo teu ingresso que vai ser pipoco! 💥 
#bregabregoso #recife #memes";12326.0;47.0;12373.0;0.004476761940323349;;;1006684000;1,80183E+16;https://www.instagram.com/p/C6zo88xONKw/
18/04/2024 08:01;Recife Ordinário;"Bom dia, ordinários!
Passeio de balão em Bonito não é terapia, mas é terapêutico. Quem tem coragem? 😍

Conheça Bonito, uma maravilha natural do lado da gente. Se hospede no hotel fazendapedrarodeadouro para uma melhor experiência! 😉

Vídeo 📷: lucaseurico
#recife #pernambucomeupaís #explore #explorar";12294.0;155.0;12449.0;0.006471457281312153;;;6947305861;1,80438E+16;https://www.instagram.com/reel/C55n-Pbuzw7/
